timestamp,line,status
2024-03-14 01:50:06.462191,M3,Vi kører efter planen
2024-03-14 01:50:06.462191,M4,Vi kører efter planen
2024-03-14 01:40:08.691283,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 01:40:08.691283,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 01:40:08.691283,M3,Vi kører efter planen
2024-03-14 01:40:08.691283,M4,Vi kører efter planen
2024-03-14 01:30:08.247521,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 01:30:08.247521,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 01:30:08.247521,M3,Vi kører efter planen
2024-03-14 01:30:08.247521,M4,Vi kører efter planen
2024-03-14 01:20:10.808836,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 01:20:10.808836,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 01:20:10.808836,M3,Vi kører efter planen
2024-03-14 01:20:10.808836,M4,Vi kører efter planen
2024-03-14 01:10:11.412759,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 01:10:11.412759,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 01:10:11.412759,M3,Vi kører efter planen
2024-03-14 01:10:11.412759,M4,Vi kører efter planen
2024-03-14 01:00:11.464746,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 01:00:11.464746,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 01:00:11.464746,M3,Vi kører efter planen
2024-03-14 01:00:11.464746,M4,Vi kører efter planen
2024-03-14 00:50:12.673558,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 00:50:12.673558,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
